No|Chinese|Pinyin|English|part_of_speech
206|树|shù|tree|noun
207|数学|shùxué|Mathematics|noun
208|刷牙|shuāyá|Brush one's teeth|verb
209|双|shuāng|double, pair|noun
210|水平|shuǐpíng|level|noun
211|司机|sījī|driver, chauffeur, operator|noun
212|太阳|tàiyáng|sun, sunshine, sunlight|noun
213|特别|tèbié|Especially|adverb
214|疼|téng|hurt, pain, ache|verb
215|提高|tígāo|increase, improve, enhance|verb
216|体育|tǐyù|sports, physical education, athletics|noun
217|甜|tián|sweet, pleasant, agreeable|adjective
218|条|tiáo|strip, piece, item|noun
219|同事|tóngshì|colleague, coworker, workmate|noun
220|同意|tóngyì|agree, consent, approve|verb
221|头发|tóufa|hair, hairstyle|noun
222|突然|tūrán|suddenly, unexpectedly, abruptly|adverb
223|图书馆|túshūguǎn|library, book repository|noun
224|腿|tuǐ|leg, limb|noun
225|完成|wánchéng|complete, finish, accomplish|verb
226|碗|wǎn|bowl, cup, dish|noun
227|万|wàn|ten thousand|numeral
228|忘记|wàngjì|forget, overlook, neglect|verb
229|为|wèi|for, because of, on behalf of|preposition
230|为了|wèile|in order to, for the sake of, for|preposition
231|位|wèi|position, place, seat|noun
232|文化|wénhuà|culture, civilization, cultural|noun
233|西|xī|west|noun
234|习惯|xíguàn|habit, custom, routine|noun
235|洗手间|xǐshǒujiān|restroom, bathroom, toilet|noun
236|洗澡|xǐzǎo|take a shower, bathe, wash oneself|verb
237|夏|xià|summer|noun
238|先|xiān|first, before, ahead|adverb
239|香蕉|xiāngjiāo|banana|noun
240|相信|xiāngxìn|believe, trust, have faith in|verb
241|向|xiàng|towards, to, in the direction of|preposition
242|像|xiàng|image, picture, resemblance|noun
243|小心|xiǎoxīn|be careful, watch out, take care|verb
244|校长|xiàozhǎng|principal, headmaster, school director|noun
245|新闻|xīnwén|news, journalism, report|noun
246|新鲜|xīnxiān|fresh, new, novel|adjective
247|信用卡|xìnyòngkǎ|credit card, bank card|noun
248|行李箱|xínglixiāng|trunk, suitcase, luggage|noun
249|熊猫|xióngmāo|panda, giant panda|noun
250|需要|xūyào|need, require, necessity|verb
251|选择|xuǎnzé|choice, option, selection|noun
252|要求|yāoqiú|requirement, demand, request|noun
253|爷爷|yéye|grandpa, grandfather, elderly man|noun
254|一定|yídìng|certain, sure, fixed|adjective
255|一共|yígòng|altogether, in total, in all|adverb
256|一会儿|yíhuìr|a while, a moment, shortly|noun
257|一样|yíyàng|same, equally, alike|adverb
258|以前|yǐqián|before|noun
259|一般|yìbān|generally, commonly, usually|adverb
260|一边|yìbiān|one side, side, while|noun
261|一直|yìzhí|always, continuously, straight|adverb
262|音乐|yīnyuè|music, musical|noun
263|银行|yínháng|bank, banking|noun
264|饮料|yǐnliào|drinks, beverage, refreshment|noun
265|应该|yīnggāi|should, ought to, must|verb
266|影响|yǐngxiǎng|influence, effect, impact|noun
267|用|yòng|use, utilize, employ|verb
268|游戏|yóuxì|game, play, entertainment|noun
269|有名|yǒumíng|famous, well-known, renowned|adjective
270|又|yòu|again, also, once more|adverb
271|遇到|yùdào|encounter, meet, run into|verb
272|元|yuán|yuan (currency), element, unit|noun
273|愿意|yuànyì|be willing, want to, agree|verb
274|月亮|yuèliang|moon, moonlight|noun
275|越|yuè|the more, increasingly|adverb
276|站|zhàn|station, stop, stand|noun
277|张|zhāng|Zhang (surname)|noun
278|长|zhǎng|grow, develop, increase|verb
279|着急|zháojí|worry, anxious, concerned|verb
280|照顾|zhàogù|look after, take care of, care for|verb
281|照片|zhàopiàn|photo, photograph, picture|noun
282|照相机|zhàoxiàngjī|camera, photographic equipment|noun
283|只|zhī|measure word for animals and certain objects|measure word
284|只|zhǐ|only, merely, just|adverb
285|只有……才……|zhǐyǒu…cái…|only if, only when, not until|conjunction
286|中文|zhōngwén|Chinese, Chinese language, Chinese writing|noun
287|中间|zhōngjiān|middle, center, between|noun
288|终于|zhōngyú|finally, eventually, at last|adverb
289|种|zhǒng|species, kind, type|noun
290|重要|zhòngyào|important, significant, crucial|adjective
291|周末|zhōumò|weekend, weekend time|noun
292|主要|zhǔyào|main, principal, primary|adjective
293|注意|zhùyì|pay attention, be careful, mind|verb
294|自己|zìjǐ|oneself, self, own|pronoun
295|自行车|zìxíngchē|bicycle, bike, cycle|noun
296|总是|zǒngshì|always, consistently, all the time|adverb
297|嘴|zuǐ|mouth, oral cavity, beak|noun
298|最后|zuìhòu|last, final, ultimately|adverb
299|最近|zuìjìn|lately, recently, these days|adverb
300|作业|zuòyè|homework, assignment, schoolwork|noun
