No|Chinese|Pinyin|English|part_of_speech
170|不择手段|bùzéshǒuduàn|Use unscrupulous divisive tactics|noun
171|不止|bùzhǐ|more than|noun
172|布告|bùgào|Notice|noun
173|布局|bùjú|distribution; layout|noun
174|布置|bùzhì|Arrangement|noun
175|步伐|bùfá|pace|noun
176|部署|bùshǔ|deploy|noun
177|部位|bùwèi|part; section|noun
178|才干|cáigàn|Talent|noun
179|财富|cáifù|wealth|noun
180|财务|cáiwù|financial affairs|noun
181|财政|cáizhèng|finance|noun
182|裁缝|cáifeng|Tailor|noun
183|裁判|cáipàn|Referee|noun
184|裁员|cáiyuán|Layoffs|noun
185|采购|cǎigòu|Purchase|noun
186|采集|cǎijí|gather; collect|noun
187|采纳|cǎinà|accept|noun
188|彩票|cǎipiào|lottery|noun
189|参谋|cānmóu|Staff officer|noun
190|参照|cānzhào|refer to|noun
191|残疾|cánjí|A disability|noun
192|残酷|cánkù|cruel|noun
193|残留|cánliú|Residual|adj
194|残忍|cánrěn|brutal|adj
195|灿烂|cànlàn|splendid|noun
196|舱|cāng|cabin|noun
197|苍白|cāngbái|pale|noun
198|仓促|cāngcù|Hasty|noun
199|仓库|cāngkù|Warehouse|noun
200|操劳|cāoláo|work hard|noun
201|操练|cāoliàn|drill; practice|noun
202|操纵|cāozòng|control|noun
203|操作|cāozuò|operation|noun
204|嘈杂|cáozá|noisy|noun
205|草案|cǎo’àn|draft|noun
206|草率|cǎoshuài|cursory; jerry|noun
207|策划|cèhuà|plan; hatch; plot|noun
208|策略|cèlüè|tactic; policy|noun
209|测量|cèliáng|measure|noun
210|侧面|cèmiàn|side; flank|noun
211|层出不穷|céngchūbùqióng|emerge in endlessly|adv
212|层次|céngcì|gradation; arrangement|noun
213|插座|chāzuò|socket|noun
214|差别|chābié|difference|noun
215|查获|cháhuò|hunt down and seize; ferret out|verb
216|岔|chà|turn off; fork|verb
217|刹那|chànà|Instant|noun
218|诧异|chàyì|astonished|noun
219|柴油|cháiyóu|diesel oil|noun
220|搀|chān|mix; mingle|noun
221|馋|chán|Greedy|noun
222|缠绕|chánrào|twine|noun
223|产业|chǎnyè|industry|noun
224|阐述|chǎnshù|expatiate; expound|noun
225|颤抖|chàndǒu|Tremble|noun
226|昌盛|chāngshèng|Prosperity|noun
227|尝试|chángshì|attempt|noun
228|偿还|chánghuán|repay|noun
229|场合|chǎnghé|occasion|noun
230|场面|chǎngmiàn|scene|noun
231|场所|chǎngsuǒ|place|noun
232|敞开|chǎngkāi|Open wide|noun
233|倡导|chàngdǎo|Advocate|verb
234|倡议|chàngyì|Initiative|adj
235|畅通|chàngtōng|unimpeded; unblocked|verb
236|畅销|chàngxiāo|sell well|noun
237|超越|chāoyuè|Transcend|noun
238|钞票|chāopiào|Bank note|noun
239|朝代|cháodài|Dynasty|noun
240|潮流|cháoliú|Trend|noun
241|嘲笑|cháoxiào|Ridicule|noun
242|巢穴|cháoxué|nest|noun
243|撤退|chètuì|haul off|noun
244|撤销|chèxiāo|repeal; retract|noun
245|沉淀|chéndiàn|subside|noun
246|沉闷|chénmèn|oppressive; withdrawn|noun
247|沉思|chénsī|Meditation|noun
248|沉重|chénzhòng|heavy|noun
249|沉着|chénzhuó|composed; cool headed|noun
250|陈旧|chénjiù|obsolete|noun
251|陈列|chénliè|display|noun
252|陈述|chénshù|present; state; mention|noun
253|衬托|chèntuō|set off|noun
254|称心如意|chènxīnrúyì|As one wishes|noun
255|称号|chēnghào|Title|noun
256|盛|chéng|fill|noun
257|橙|chéng|orange|noun
258|乘|chéng|ride|noun
259|承办|chéngbàn|Undertake|noun
260|承包|chéngbāo|Contract|noun
261|承诺|chéngnuò|Promise|noun
262|城堡|chéngbǎo|Castle|noun
263|成本|chéngběn|cost|noun
264|成交|chéngjiāo|Deal|adj
265|成天|chéngtiān|All day long|noun
266|成效|chéngxiào|Results, effects|noun
267|成心|chéngxīn|on purpose|noun
268|成员|chéngyuán|member|noun
269|惩罚|chéngfá|punish|noun
270|诚挚|chéngzhì|sincere; cordial; earnest|adj
271|澄清|chéngqīng|clarify|verb
272|呈现|chéngxiàn|Present|noun
273|秤|chèng|balance|noun
274|吃苦|chīkǔ|Hardship|noun
275|吃力|chīlì|Sweaty|noun
276|迟钝|chídùn|bluntness|noun
277|迟缓|chíhuǎn|tardy; sluggish|noun
278|迟疑|chíyí|Hesitation|noun
279|持久|chíjiǔ|Lasting|noun
280|赤道|chìdào|equator|noun
281|赤字|chìzì|deficit; red ink|noun
282|冲动|chōngdòng|impulse|noun
283|冲击|chōngjī|To attack|noun
284|冲突|chōngtū|conflict|noun
285|充当|chōngdāng|act as; serve as|noun
286|充沛|chōngpèi|Abundant|noun
287|充实|chōngshí|Enrich|noun
288|充足|chōngzú|adequate|verb
289|崇拜|chóngbài|worship|noun
290|崇高|chónggāo|lofty|noun
291|崇敬|chóngjìng|respect; revere|noun
292|重叠|chóngdié|overlap|noun
293|筹备|chóubèi|arrange; prepare|noun
294|稠密|chóumì|thick; dense|noun
295|丑恶|chǒu’è|ugly; filthy|noun
296|出路|chūlù|way out|noun
297|出卖|chūmài|sell|noun
298|出身|chūshēn|Birth|noun
299|出神|chūshén|Trance|noun
300|出息|chūxi|Good|adj
301|初步|chūbù|preliminary|noun
302|除|chú|except|noun
303|储备|chǔbèi|store|noun
304|储存|chǔcún|Storage|noun
305|储蓄|chǔxù|save up; bank|noun
306|处分|chǔfèn|prescription|noun
307|处境|chǔjìng|plight; situation|noun
308|处置|chǔzhì|treat; dispose|noun
309|触犯|chùfàn|offend; violate|verb
310|穿越|chuānyuè|Pass through|noun
311|川流不息|chuānliúbùxī|flowing up in an endless stream|noun
312|船舶|chuánbó|watercraft; ships|noun
313|传达|chuándá|Convey|noun
314|传单|chuándān|fly sheet; leaflet|noun
315|传授|chuánshòu|initiate; teach|noun
316|喘气|chuǎnqì|Panting|noun
317|串|chuàn|strand, cluster|noun
318|床单|chuángdān|Sheet|noun
319|创立|chuànglì|Found|noun
320|创新|chuàngxīn|innovate|verb
321|创业|chuàngyè|carve out|noun
322|创作|chuàngzuò|A literary creation|noun
323|吹牛|chuīniú|brag; boast|noun
324|吹捧|chuīpěng|flatter; puff|noun
325|炊烟|chuīyān|cooking smoke|verb
326|锤|chuí|hammer|noun
327|垂直|chuízhí|vertical|adj
328|纯粹|chúncuì|pure|noun
329|纯洁|chúnjié|pure|noun
330|磁带|cídài|Magnetic tape|noun
331|慈祥|cíxiáng|Kindly|adv
332|慈善|císhàn|charity|noun
333|雌雄|cíxióng|male and female|noun
334|刺|cì|thorn|noun
335|次品|cìpǐn|defective goods|adj
336|次序|cìxù|order; sequence|noun
337|伺候|cìhou|Wait|noun
338|丛|cóng|cluster|noun
339|从容|cóngróng|take one’s time; calm and unhurried|noun
340|凑合|còuhuo|gather together|noun
341|粗鲁|cūlǔ|rude|noun
342|窜|cuàn|Channeling|noun
343|摧残|cuīcán|devastate; wreck|noun
344|脆弱|cuìruò|fragile|noun
345|搓|cuō|Rub|noun
346|磋商|cuōshāng|negotiate|verb
347|挫折|cuòzhé|frustration|noun
348|搭|dā|to match, to take|noun
349|搭档|dādàng|partner|noun
350|搭配|dāpèi|arrange; match|noun
351|答辩|dábiàn|reply; answer|noun
352|答复|dáfù|Reply|adv
353|达成|dáchéng|Reach|noun
354|打包|dǎbāo|Pack|noun
355|打官司|dǎguānsi|To engage in a lawsuit|noun
356|打击|dǎjī|strike|noun
357|打架|dǎjià|Fight|noun
358|打量|dǎliang|look sb. up and down|verb
359|打猎|dǎliè|Go hunting|noun
360|打仗|dǎzhàng|To war|noun
361|大不了|dàbuliǎo|Big deal|adj
362|大臣|dàchén|Minister|noun
363|大伙儿|dàhuǒr|you all; everybody|noun
364|大肆|dàsì|Wantonly|adv
365|大体|dàtǐ|general|adj
366|大意|dàyi|Careless|noun
367|大致|dàzhì|roughly|adv
368|歹徒|dǎitú|gangster; mobster|noun
369|带领|dàilǐng|lead|noun
370|代价|dàijià|cost|noun
371|代理|dàilǐ|agent|noun
372|逮捕|dàibǔ|Arrest|noun
373|怠慢|dàimàn|cold-shoulder|noun
374|担保|dānbǎo|assure; hypothecate|noun
375|胆怯|dǎnqiè|coward, fear|noun
376|淡季|dànjì|Low Season|noun
377|淡水|dànshuǐ|fresh water|noun
378|蛋白质|dànbáizhì|Protein|noun
379|诞辰|dànchén|Birthday|noun
380|诞生|dànshēng|Be born|noun
381|当场|dāngchǎng|On the spot|noun
382|当初|dāngchū|Original|adj
383|当代|dāngdài|Contemporary|noun
384|当面|dāngmiàn|Face to face|noun
385|当前|dāngqián|current|noun
386|当事人|dāngshìrén|client|noun
387|当务之急|dāngwùzhījí|A pressing matter of the moment|noun
388|当选|dāngxuǎn|be elected; come in|noun
389|党|dǎng|party|noun
390|档案|dàng’àn|archives|noun
391|档次|dàngcì|grade|noun
392|倒闭|dǎobì|Collapse|noun
393|导弹|dǎodàn|Missile|noun
394|导航|dǎoháng|navigate|verb
395|导向|dǎoxiàng|guide|noun
396|捣乱|dǎoluàn|Trouble|noun
397|稻谷|dàogǔ|Unhusked rice|noun
398|盗窃|dàoqiè|steal; pilfer|noun
399|得不偿失|débùchángshī|be not worth the candle; get more kicks than halfpence|noun
400|得力|délì|right-hand|noun
401|得天独厚|détiāndúhòu|Be richly endowed by nature|verb
402|得罪|dézuì|Offend|noun
403|蹬|dēng|thrust|noun
404|灯笼|dēnglong|lantern|noun
405|登陆|dēnglù|disembark; land|noun
406|登录|dēnglù|Sign in|noun
407|等候|děnghòu|Wait|noun
408|等级|děngjí|grade; rank|noun
409|瞪|dèng|Stare|noun
410|堤坝|dībà|Dam|noun
411|敌视|díshì|be hostile to; antagonize|verb
412|抵达|dǐdá|Arrive|adj
413|抵抗|dǐkàng|resistance|noun
414|抵制|dǐzhì|resist; reject; repel|noun
415|递增|dìzēng|Increasing|noun
416|地步|dìbù|condition; plight; situation; state; extent|noun
417|地势|dìshì|Terrain|noun
418|地质|dìzhì|geology|noun
419|颠簸|diānbǒ|bump; welter|noun
420|颠倒|diāndǎo|Upside down|verb
421|点缀|diǎnzhuì|Embellishment|noun
422|典礼|diǎnlǐ|Ceremony|noun
423|典型|diǎnxíng|typical|adj
424|垫|diàn|pad|noun
425|电源|diànyuán|power supply|adv
426|奠定|diàndìng|Establish|verb
427|惦记|diànjì|Miss|noun
428|叼|diāo|hold in mouth|noun
429|雕刻|diāokè|carving|noun
430|雕塑|diāosù|Sculpture|noun
431|吊|diào|crane|noun
432|调动|diàodòng|transfer|noun
433|跌|diē|fall|noun
434|丁|dīng||noun
435|盯|dīng|stare at|noun
436|叮嘱|dīngzhǔ|urge again and again; exhort; warn|noun
437|定期|dìngqī|regular|noun
438|定义|dìngyì|Definition|noun
439|丢人|diūrén|lose face|verb
440|丢三落四|diūsānlàsì|Miss or lose this and that|verb
441|东道主|dōngdàozhǔ|Host|noun
442|东张西望|dōngzhāngxīwàng|Look around|noun
443|董事长|dǒngshìzhǎng|Chairman|noun
444|栋|dòng|Building (measure word)|measure
445|冻结|dòngjié|Frozen|noun
446|动荡|dòngdàng|turbulence|noun
447|动机|dòngjī|motivation|noun
448|动静|dòngjing|Movement|noun
449|动力|dònglì|power, motivation|noun
450|动脉|dòngmài|artery|noun
451|动身|dòngshēn|Leave|noun
452|动手|dòngshǒu|DIY|noun
453|动态|dòngtài|dynamic|noun
454|动员|dòngyuán|mobilization|noun
455|兜|dōu|Pocket|noun
456|陡峭|dǒuqiào|Steep|noun
457|斗争|dòuzhēng|Struggle|noun
458|督促|dūcù|supervise and urge|noun
459|独裁|dúcái|autocracy|noun
460|毒品|dúpǐn|narcotics|noun
461|赌博|dǔbó|gambling|noun
462|堵塞|dǔsè|blocking|verb
463|杜绝|dùjué|Stop， ban|verb
464|端|duān|end|noun
465|端午节|duānwǔjié|The Dragon Boat Festival|noun
466|端正|duānzhèng|correct|noun
467|短促|duǎncù|very brief|noun
468|断定|duàndìng|be sure; figure out|noun
469|断绝|duànjué|be sure; figure out|noun
470|堆积|duījī|Accumulation|noun
471|对策|duìcè|countermeasure|noun
472|对称|duìchèn|symmetrical|adj
473|对付|duìfu|deal with|noun
474|对抗|duìkàng|Combat|noun
475|对立|duìlì|Opposition|noun
476|对联|duìlián|Antithetical couplet|noun
477|对应|duìyìng|Corresponding|noun
478|对照|duìzhào|compare; collate|verb
479|兑现|duìxiàn|Cash|noun
480|队伍|duìwu|Ranks|noun
481|顿时|dùnshí|Suddenly|adj
482|多元化|duōyuánhuà|Diversification|noun
483|哆嗦|duōsuo|Shiver|noun
484|堕落|duòluò|Degenerate|verb
485|额外|éwài|extra; additional|adj
486|恶心|ěxin|disgusting|noun
487|恶化|èhuà|deteriorate|verb
488|遏制|èzhì|contain|noun
489|恩怨|ēnyuàn|Resentment|noun
490|而已|éryǐ|Nothing more|noun
491|二氧化碳|èryǎnghuàtàn|Carbon dioxide|noun
492|发布|fābù|Release|noun
493|发财|fācái|make a fortune; make a pile|verb
494|发呆|fādāi|In a daze|noun
495|发动|fādòng|Launch|noun
496|发觉|fājué|find|noun
497|发射|fāshè|launch|noun
498|发誓|fāshì|swear|noun
499|发行|fāxíng|issue|noun
500|发炎|fāyán|inflammation|noun
501|发扬|fāyáng|carry forward|noun
502|发育|fāyù|Development, growth|noun
503|法人|fǎrén|juridical person|noun
504|番|fān|Some|noun
505|繁华|fánhuá|Bustling|noun
506|繁忙|fánmáng|busy|noun
507|繁体字|fántǐzì|the traditional Chinese character|noun
508|繁殖|fánzhí|Reproduction|noun
509|凡是|fánshì|All|noun
510|反驳|fǎnbó|refute|noun
511|反常|fǎncháng|abnormal|adj
512|反感|fǎngǎn|Disgusted|noun
513|反抗|fǎnkàng|Resistance|noun
514|反馈|fǎnkuì|feedback|noun
515|反面|fǎnmiàn|The other side|noun
516|反射|fǎnshè|echo; reflect|noun
517|反思|fǎnsī|Reflect|noun
518|反问|fǎnwèn|rhetorical question|noun
519|反之|fǎnzhī|on the contrary; whereas|noun
520|范畴|fànchóu|category|noun
521|泛滥|fànlàn|Flood|noun
522|贩卖|fànmài|Trafficking|noun
523|方位|fāngwèi|Position|noun
524|方言|fāngyán|dialect|noun
525|方圆|fāngyuán|circumference|noun
526|方针|fāngzhēn|policy|noun
527|防守|fángshǒu|Defense|noun
528|防御|fángyù|defense|noun
529|防止|fángzhǐ|Prevent|verb
530|防治|fángzhì|Prevention and cure|verb
531|访问|fǎngwèn|Visit|verb
532|纺织|fǎngzhī|Spin|noun
533|放大|fàngdà|enlarge|noun
534|放射|fàngshè|radiation|noun
535|非法|fēifǎ|illegal|adj
536|飞禽走兽|fēiqínzǒushòu|Birds and animals|noun
537|飞翔|fēixiáng|flight|noun
538|飞跃|fēiyuè|leap|noun
539|肥沃|féiwò|fertile|noun
540|诽谤|fěibàng|slander; defame|noun
541|肺|fèi|lung|noun
542|废除|fèichú|Abolish|noun
543|废墟|fèixū|Ruins|noun
544|废寝忘食|fèiqǐnwàngshí|forget all about sleeping and eating|noun
545|沸腾|fèiténg|boiling|noun
546|分辨|fēnbiàn|Distinguish|noun
547|分寸|fēncùn|Sense of propriety|noun
548|分红|fēnhóng|bonus|noun
549|分解|fēnjiě|decompose|noun
550|分裂|fēnliè|division|noun
551|分泌|fēnmì|secretion|noun
552|分明|fēnmíng|clear|noun
553|分歧|fēnqí|divergence|noun
554|分散|fēnsàn|Dispersed|noun
555|吩咐|fēnfù|Tell|noun
556|坟墓|fénmù|Grave|noun
557|粉末|fěnmò|powder|noun
558|粉色|fěnsè|Pink|noun
559|粉碎|fěnsuì|smash|noun
560|分量|fènliàng|Weight|noun
561|愤怒|fènnù|anger|noun
562|风暴|fēngbào|Storm|noun
563|风度|fēngdù|Manner|noun
564|风光|fēngguāng|Scenery|noun
565|风气|fēngqì|atmosphere|noun
566|风趣|fēngqù|Funny|noun
567|风土人情|fēngtǔrénqíng|Local customs and practices|noun
568|风味|fēngwèi|flavor|noun
569|封闭|fēngbì|close|verb
570|封建|fēngjiàn|Feudal|adj
571|封锁|fēngsuǒ|blockade|verb
572|丰满|fēngmǎn|Plump|noun
573|丰盛|fēngshèng|rich; sumptuous|adj
574|丰收|fēngshōu|Have bumper harvest|noun
575|锋利|fēnglì|sharp|noun
576|逢|féng|meet; come upon|noun
577|奉献|fèngxiàn|dedicate|verb
578|否决|fǒujué|veto; reject; overrule|noun
579|夫妇|fūfù|couple|noun
580|夫人|fūrén|Madam|noun
581|敷衍|fūyǎn|play at|noun
582|幅度|fúdù|range; extent|noun
583|服从|fúcóng|Obey|noun
584|服气|fúqì|Be convinced|noun
585|符号|fúhào|Symbol|noun
586|福利|fúlì|welfare|noun
587|福气|fúqi|good luck; felicity|adj
588|俘虏|fúlǔ|captive|adj
589|辐射|fúshè|radiation|noun
590|腐败|fǔbài|corrupt|noun
591|腐烂|fǔlàn|Decay|noun
592|腐蚀|fǔshí|corrosion|noun
593|腐朽|fǔxiǔ|Decadent|noun
594|辅助|fǔzhù|auxiliary|noun
595|抚养|fǔyǎng|Raise|noun
596|抚摸|fǔmō|stroke|noun
597|俯视|fǔshì|look down|verb
598|富裕|fùyù|Affluent|noun
599|副|fù|Vice-|noun
600|负担|fùdān|burden|noun
601|覆盖|fùgài|overlay; cover with|noun
602|附和|fùhè|chime in with; come to heel|noun
603|附件|fùjiàn|Enclosure|noun
604|附属|fùshǔ|attach appertain|noun
605|复活|fùhuó|Resurrection|noun
606|复兴|fùxīng|Revival|adj
607|腹泻|fùxiè|diarrhea|noun
608|赋予|fùyǔ|give|adj
609|改良|gǎiliáng|Improvement|noun
610|盖章|gàizhāng|Seal|adj
611|钙|gài|calcium|noun
612|干旱|gānhàn|drought|noun
613|干扰|gānrǎo|interfere|noun
614|干涉|gānshè|interference|noun
615|干预|gānyù|intervene|noun
616|尴尬|gāngà|awkward|noun
617|感慨|gǎnkǎi|Feeling|noun
618|感染|gǎnrǎn|Infected|noun
619|干劲|gànjìn|Drive|adj
620|纲领|gānglǐng|Programme|noun
621|港口|gǎngkǒu|Port|noun
622|港湾|gǎngwān|Harbour|noun
623|岗位|gǎngwèi|post|noun
624|杠杆|gànggǎn|lever|noun
625|高超|gāochāo|outstanding; superb; excellent|noun
626|高潮|gāocháo|climax|noun
627|高峰|gāofēng|peak|noun
628|高明|gāomíng|brilliant; bright|noun
629|高尚|gāoshàng|noble|noun
630|高涨|gāozhǎng|Upsurge|noun
631|稿件|gǎojiàn|manuscript|noun
632|告辞|gàocí|Take leave|noun
633|告诫|gàojiè|warn; caution|noun
634|割|gē|cut|verb
635|搁|gē|Put aside|noun
636|疙瘩|gēda|lump; pimple|noun
637|歌颂|gēsòng|Sing|noun
638|鸽子|gēzi|Dove|verb
639|隔阂|géhé|Estrangement|noun
640|隔离|gélí|quarantine|noun
641|格局|géjú|situation|noun
642|格式|géshi|format|noun
643|革命|gémìng|revolution|noun
644|个体|gètǐ|individual|adj
645|各抒己见|gèshūjǐjiàn|Each airs his own views|noun
646|根深蒂固|gēnshēndìgù|being deeply rooted; in grain|noun
647|根源|gēnyuán|root|noun
648|跟前|gēnqián|In front of|noun
649|跟随|gēnsuí|follow|noun
650|跟踪|gēnzōng|run after; tail|noun
651|耕地|gēngdì|Cultivated land|noun
652|更新|gēngxīn|renovate; renew|noun
653|更正|gēngzhèng|correct|noun
654|公安局|gōng’ānjú|Bureau of public security|noun
655|公道|gōngdao|fair|noun
656|公告|gōnggào|Notice|noun
657|公关|gōngguān|public relations|noun
658|公民|gōngmín|citizen|noun
659|公然|gōngrán|to the teeth; under one’s nose|noun
660|公认|gōngrèn|Accepted|noun
661|公式|gōngshì|formula|noun
662|公务|gōngwù|Official business|noun
663|公正|gōngzhèng|fair|noun
664|公证|gōngzhèng|Notarization|noun
665|供不应求|gōngbúyìngqiú|Demand exceeds supply|adv
666|供给|gōngjǐ|supply|adv
667|工艺品|gōngyìpǐn|Arts and Crafts|noun
668|宫殿|gōngdiàn|Palace|noun
669|功劳|gōngláo|credit|noun
670|功效|gōngxiào|Effect|noun
671|攻击|gōngjī|attack|noun
672|攻克|gōngkè|Conquer|noun
673|恭敬|gōngjìng|dutiful; respectful|adj
674|巩固|gǒnggù|consolidate|verb
675|共和国|gònghéguó|Republic|noun
676|共计|gòngjì|count up to; sum to|noun
677|共鸣|gòngmíng|resonance|noun
678|勾结|gōujié|Collusion|noun
679|钩子|gōuzi|hook|noun
680|构思|gòusī|Design|noun
681|孤独|gūdú|lonely|adj
682|孤立|gūlì|isolated|noun
683|辜负|gūfù|Live up to|noun
684|姑且|gūqiě|Tentatively|adv
685|古董|gǔdǒng|antique|noun
686|古怪|gǔguài|cranky; wacky|noun
687|股东|gǔdōng|stockholder|noun
688|股份|gǔfèn|Shares|noun
689|鼓动|gǔdòng|Agitation|noun
690|骨干|gǔgàn|backbone|noun
691|固然|gùrán|Of course|noun
692|固体|gùtǐ|solid|noun
693|固有|gùyǒu|Inherent|noun
