No|Chinese|Pinyin|English|part_of_speech
163|功能|gōngnéng|function, capability|noun
164|沟通|gōutōng|communicate, connect|verb
165|姑娘|gūniang|girl, young woman|noun
166|古代|gǔdài|ancient, classical|adjective
167|鼓掌|gǔzhǎng|applause, clapping|noun
168|骨头|gǔtou|bone, skeleton|noun
169|乖|guāi|well-behaved, obedient|adjective
170|怪不得|guàibude|no wonder, so that's why|adverb
171|观察|guānchá|observation, watching|noun
172|观念|guānniàn|concept, notion, idea|noun
173|冠军|guànjūn|champion, winner|noun
174|光滑|guānghuá|smooth, sleek|adjective
175|光明|guāngmíng|light, brightness, radiance|noun
176|广大|guǎngdà|vast, extensive, wide|adjective
177|规律|guīlǜ|law, rule, pattern|noun
178|规则|guīzé|rule, regulation|noun
179|滚|gǔn|roll, scroll|verb
180|国庆节|guóqìngjié|National Day|noun
181|果实|guǒshí|fruit, result|noun
182|过敏|guòmǐn|allergy, allergic reaction|noun
183|海鲜|hǎixiān|seafood, marine products|noun
184|豪华|háohuá|luxury, splendor|noun
185|好奇|hàoqí|be curious, wonder about|verb
186|何必|hébì|why, why bother|adverb
187|合法|héfǎ|legitimate, legal, lawful|adjective
188|合理|hélǐ|reasonable, rational, logical|adjective
189|合同|hétong|contract, agreement|noun
190|合作|hézuò|cooperation, collaboration|noun
191|恨|hèn|hate, detest|verb
192|猴子|hóuzi|monkey, ape|noun
193|后背|hòubèi|back, backside|noun
194|忽视|hūshì|ignore, neglect, overlook|verb
195|壶|hú|pot, kettle, teapot|noun
196|胡说|húshuō|nonsense, rubbish|noun
197|糊涂|hútu|confused, muddled|adjective
198|花生|huāshēng|peanut, groundnut|noun
199|划|huá|row, paddle|verb
200|话题|huàtí|topic of conversation, subject|noun
201|怀念|huáiniàn|miss, long for, reminisce about|verb
202|怀孕|huáiyùn|become pregnant, conceive, expect|verb
203|慌张|huāngzhāng|flurried, flustered, panic-stricken|adjective
204|黄金|huángjīn|gold, golden, precious metal|noun
205|灰|huī|ash, grey, dust|noun
206|灰心|huīxīn|lose heart, be discouraged, become disheartened|verb
207|婚礼|hūnlǐ|wedding, marriage ceremony|noun
208|活跃|huóyuè|active, lively, vigorous|adjective
209|伙伴|huǒbàn|partner, companion, mate|noun
210|或许|huòxǔ|maybe, perhaps, possibly|adverb
211|基本|jīběn|basic, fundamental, essential|adjective
212|机器|jīqì|machine, equipment, apparatus|noun
213|及格|jígé|pass, meet standards, qualify|verb
214|集合|jíhé|aggregate, gather, assemble|verb
215|集中|jízhōng|focus, concentrate, centralize|verb
216|急诊|jízhěn|emergency treatment, urgent care|noun
217|记忆|jìyì|memory, recollection|noun
218|纪录|jìlù|record, document, file|noun
219|纪念|jìniàn|memorialize, commemorate, remember|verb
220|家务|jiāwù|housework, household chores|noun
221|嘉宾|jiābīn|distinguished guest, honored guest|noun
222|甲|jiǎ|nail, shell, armor|noun
223|假如|jiǎrú|if, suppose, assuming|conjunction
224|假装|jiǎzhuāng|pretend, feign, act as if|verb
225|驾驶|jiàshǐ|drive, operate, pilot|verb
226|坚强|jiānqiáng|firm, strong, resolute|adjective
227|艰苦|jiānkǔ|hard, difficult, arduous|adjective
228|捡|jiǎn|pick up, collect, gather|verb
229|简直|jiǎnzhí|simply, practically, virtually|adverb
230|健身|jiànshēn|work out, exercise, keep fit|verb
231|建设|jiànshè|build, construct, develop|verb
232|建筑|jiànzhù|architecture, building, construction|noun
233|键盘|jiànpán|keyboard, keypad|noun
234|讲座|jiǎngzuò|lecture, talk, speech|noun
235|酱油|jiàngyóu|soy sauce, sauce|noun
236|浇|jiāo|pour over, water, irrigate|verb
237|交换|jiāohuàn|exchange, swap, interchange|verb
238|交往|jiāowǎng|associate with, interact, communicate|verb
239|角度|jiǎodù|angle, perspective, point of view|noun
240|教材|jiàocái|teaching material, textbook|noun
241|教训|jiàoxùn|lesson, moral, warning|noun
242|接待|jiēdài|reception, hospitality|noun
243|结实|jiēshi|strong, sturdy, solid|adjective
244|节省|jiéshěng|save, economize, conserve|verb
245|结构|jiégòu|structure, construction, composition|noun
246|结合|jiéhé|combination, integration|noun
247|结论|jiélùn|conclusion, outcome, result|noun
248|结账|jiézhàng|check out, pay the bill, settle accounts|verb
249|届|jiè|session, term, period|noun
250|借口|jièkǒu|excuse, pretext|noun
251|戒|jiè|quit, give up, abstain from|verb
252|紧急|jǐnjí|urgent, pressing, emergency|adjective
253|尽快|jǐnkuài|as soon as possible, asap|adverb
254|谨慎|jǐnshèn|cautious, prudent, careful|adjective
255|进步|jìnbù|progress, advancement, improvement|noun
256|近代|jìndài|modern times, recent history|noun
257|尽量|jìnliàng|as much as possible, to the fullest extent|adverb
258|精神|jīngshén|spirit, mind, consciousness|noun
259|经典|jīngdiǎn|classics, classic works|noun
260|救|jiù|save, rescue, help|verb
261|舅舅|jiùjiu|uncle, mother's brother|noun
262|桔子|júzi|orange, tangerine|noun
263|具备|jùbèi|have, possess, be equipped with|verb
264|巨大|jùdà|huge, enormous, tremendous|adjective
265|决赛|juésài|finals, final match|noun
266|绝对|juéduì|absolutely, definitely|adverb
267|军事|jūnshì|military affairs, military|noun
268|开放|kāifàng|open up, liberalize, make accessible|verb
269|开水|kāishuǐ|boiling water, hot water|noun
270|砍|kǎn|cut, chop, hack|verb
271|看不起|kànbuqǐ|despise, look down upon, disdain|verb
272|可见|kějiàn|so, thus, therefore|conjunction
273|可怕|kěpà|dreadful, terrible, frightening|adjective
274|克|kè|gram, unit of weight|noun
275|客观|kèguān|objective, impartial|adjective
276|控制|kòngzhì|control, manage, regulate|verb
277|口味|kǒuwèi|flavor, taste, preference|noun
278|夸|kuā|boast, praise, exaggerate|verb
279|扩大|kuòdà|expand, enlarge, extend|verb
280|辣椒|làjiāo|pepper, chili, hot pepper|noun
281|烂|làn|rotten, decayed, broken|adjective
282|劳动|láodòng|labor, work, toil|noun
283|老板|lǎobǎn|boss, proprietor, employer|noun
284|老鼠|lǎoshǔ|mouse, rat|noun
285|姥姥|lǎolao|grandmother (maternal)|noun
286|理论|lǐlùn|theory, theoretical|noun
287|理由|lǐyóu|reason, grounds, justification|noun
288|立刻|lìkè|immediately, at once, instantly|adverb
289|力量|lìliàng|power, strength, force|noun
290|利息|lìxī|interest, dividend|noun
291|利用|lìyòng|utilize, make use of, exploit|verb
292|连忙|liánmáng|hurriedly, hastily|adverb
293|联合|liánhé|union, alliance, combination|noun
294|了不起|liǎobuqǐ|amazing, remarkable, extraordinary|adjective
295|列车|lièchē|train, passenger train|noun
296|临时|línshí|temporary, provisional|adjective
297|灵活|línghuó|flexible, nimble, agile|adjective
298|领域|lǐngyù|field, domain, realm|noun
299|流传|liúchuán|spread, circulate, pass on|verb
300|浏览|liúlǎn|browse, skim through, surf|verb
301|龙|lóng|dragon|noun
302|漏|lòu|leak, drip, omit|verb
303|陆地|lùdì|land, continent, terra firma|noun
304|录取|lùqǔ|matriculate, admit, enroll|verb
305|论文|lùnwén|paper, thesis, dissertation|noun
306|落后|luòhòu|fall behind, lag behind, be backward|verb
307|骂|mà|scold, curse, berate|verb
308|麦克风|màikèfēng|microphone, mic|noun
309|满足|mǎnzú|satisfy, fulfill, meet needs|verb
310|冒险|màoxiǎn|adventure, risk, venture|noun
311|眉毛|méimao|eyebrow, brow|noun
312|美术|měishù|fine arts, art|noun
313|秘密|mìmì|secret, confidential matter|noun
314|面对|miànduì|face, confront, deal with|verb
315|面临|miànlín|face, confront, encounter|verb
316|苗条|miáotiao|slim, slender, graceful|adjective
317|明确|míngquè|make clear, clarify, specify|verb
318|明显|míngxiǎn|obvious, evident, clear|adjective
319|名牌|míngpái|famous brand, name brand|noun
320|名胜古迹|míngshènggǔjì|historical sites, scenic spots|noun
321|命令|mìnglìng|order, command, instruct|verb
322|摸|mō|feel, touch, grope|verb
323|模糊|móhu|vague, unclear, ambiguous|adjective
324|摩托车|mótuōchē|motorcycle, motorbike|noun
325|某|mǒu|some, certain|pronoun
326|目标|mùbiāo|target, goal, objective|noun
327|目录|mùlù|catalog, directory, contents|noun
328|木头|mùtou|wood, lumber, timber|noun
329|哪怕|nǎpà|even if, even though|conjunction
330|难免|nánmiǎn|unavoidable, inevitable|adjective
331|脑袋|nǎodai|head, brain, mind|noun
332|内科|nèikē|internal medicine|noun
333|嫩|nèn|tender, soft, delicate|adjective
334|能干|nénggàn|capable, competent, efficient|adjective
335|能源|néngyuán|energy, power source|noun
336|年代|niándài|years, era, period|noun
337|年纪|niánjì|age, years|noun
338|宁可|nìngkě|would rather|adverb
339|牛仔裤|niúzǎikù|jeans, denim pants|noun
340|农村|nóngcūn|countryside, rural area|noun
341|农业|nóngyè|agriculture, farming|noun
342|女士|nǚshì|madam, lady, Ms.|noun
343|派|pài|send, dispatch, assign|verb
344|赔偿|péicháng|compensate, make reparation|verb
345|培养|péiyǎng|cultivate, train, nurture|verb
346|配合|pèihé|coordination, cooperation|noun
347|披|pī|drape over, wear, spread|verb
348|片面|piànmiàn|one-sided, partial|adjective
349|拼音|pīnyīn|pinyin, phonetic notation|noun
350|平|píng|flat, level, even|adjective
351|平常|píngcháng|usual, ordinary, common|adjective
352|平方|píngfāng|square, square meter|noun
353|平静|píngjìng|calm, peaceful, tranquil|adjective
354|评价|píngjià|evaluate, assess, appraise|verb
355|破坏|pòhuài|destruction, damage|noun
356|期待|qīdài|expect, look forward to, anticipate|verb
357|奇迹|qíjì|miracle, wonder|noun
358|启发|qǐfā|inspire, enlighten, stimulate|verb
359|气氛|qìfēn|atmosphere, ambiance|noun
360|汽油|qìyóu|gasoline, petrol|noun
361|谦虚|qiānxū|modest, humble|adjective
362|签|qiān|sign, autograph|verb
363|浅|qiǎn|shallow, light (color)|adjective
364|枪|qiāng|gun, rifle, firearm|noun
365|强调|qiángdiào|emphasize, stress, underline|verb
366|抢|qiǎng|rob, snatch, grab|verb
367|悄悄|qiāoqiāo|quietly, secretly, stealthily|adverb
368|瞧|qiáo|look, see, watch|verb
369|巧妙|qiǎomiào|clever, ingenious, skillful|adjective
370|亲爱|qīn'ài|dear, beloved|adjective
371|亲切|qīnqiè|kind, cordial, friendly|adjective
372|勤奋|qínfèn|hardworking, diligent|adjective
373|青春|qīngchūn|youth, young years|noun
374|轻视|qīngshì|despise, belittle, look down on|verb
375|请求|qǐngqiú|request, ask for, appeal|verb
376|球迷|qiúmí|fans, sports fans|noun
377|趋势|qūshì|trend, tendency|noun
378|去世|qùshì|pass away, die, decease|verb
379|权力|quánlì|power, authority|noun
380|劝|quàn|persuade, advise, urge|verb
381|缺乏|quēfá|lack, be short of, be deficient in|verb
382|确认|quèrèn|confirm, verify, authenticate|verb
383|群|qún|group, crowd, flock|noun
384|燃烧|ránshāo|burn, combust, blaze|verb
385|绕|rào|go around, circle, bypass|verb
386|热爱|rè'ài|love ardently, be devoted to|verb
387|热心|rèxīn|enthusiastic, warmhearted|adjective
388|人才|réncái|talented people, talent|noun
389|人类|rénlèi|human beings, mankind|noun
390|人生|rénshēng|life, lifetime|noun
391|人物|rénwù|character, figure, personality|noun
392|忍不住|rěnbuzhù|cannot help, be unable to bear|verb
393|日程|rìchéng|schedule, agenda, itinerary|noun
394|日历|rìlì|calendar, almanac|noun
395|日用品|rìyòngpǐn|daily necessities|noun
396|如何|rúhé|how, in what way|adverb
397|软件|ruǎnjiàn|software, program|noun
398|洒|sǎ|sprinkle, splash, scatter|verb
399|嗓子|sǎngzi|throat, voice|noun
400|沙滩|shātān|beach, sandy beach|noun
401|晒|shài|sunshine, sunlight|noun
402|闪电|shǎndiàn|lightning, flash|noun
403|善于|shànyú|be good at, be skilled in, excel at|verb
404|商品|shāngpǐn|commodity, goods, merchandise|noun
405|商务|shāngwù|business, commercial affairs|noun
406|伤害|shānghài|hurt, harm, damage|verb
407|舍不得|shěbude|hate to part with, be reluctant to, be unwilling to|verb
408|设计|shèjì|design, plan, scheme|noun
409|摄影|shèyǐng|photography, photographing|noun
410|伸|shēn|stretch, extend, reach out|verb
411|深刻|shēnkè|profound, deep, thorough|adjective
412|身份|shēnfèn|identity, status, position|noun
413|神秘|shénmì|mysterious, mystical|adjective
414|生动|shēngdòng|vivid, lively, graphic|adjective
415|生长|shēngzhǎng|grow, develop, mature|verb
416|诗|shī|poetry, poem, verse|noun
417|失眠|shīmián|insomnia, sleeplessness|noun
418|狮子|shīzi|lion|noun
419|时代|shídài|era, age, times|noun
420|时髦|shímáo|fashionable, stylish, trendy|adjective
421|时尚|shíshàng|fashion|noun
422|实习|shíxí|internship, practice, practicum|noun
423|实验|shíyàn|experiment, test, trial|noun
424|石头|shítou|stone, rock, pebble|noun
425|使劲儿|shǐjìnr|exert strength, try hard, put effort|verb
426|始终|shǐzhōng|throughout, always, from start to finish|adverb
427|试卷|shìjuàn|test paper, examination paper|noun
428|市场|shìchǎng|market, marketplace|noun
429|事物|shìwù|thing, matter, object|noun
430|收据|shōujù|receipt, voucher|noun
431|手工|shǒugōng|handwork, manual work|noun
432|手术|shǒushù|operation, surgery|noun
433|手续|shǒuxù|procedure, formality|noun
434|首|shǒu|head, chief, first|noun
435|受伤|shòushāng|injured, wounded|adjective
436|寿命|shòumìng|life span, longevity|noun
437|书架|shūjià|bookshelf, bookcase|noun
438|输入|shūrù|input, import, enter|verb
439|熟练|shúliàn|skilled, proficient|adjective
440|鼠标|shǔbiāo|mouse (computer)|noun
441|数据|shùjù|data, statistics|noun
442|数码|shùmǎ|digital, electronic|adjective
443|摔倒|shuāidǎo|fall down, tumble, trip|verb
444|双方|shuāngfāng|both sides, both parties|noun
445|税|shuì|tax, duty, tariff|noun
446|说服|shuōfú|persuade, convince, talk into|verb
447|丝绸|sīchóu|silk, silk fabric|noun
448|思想|sīxiǎng|thought, thinking, idea|noun
449|似乎|sìhū|seem, appear|adverb
450|随身|suíshēn|carry on, keep on oneself|verb
451|碎|suì|broken, shattered|adjective
452|损失|sǔnshī|loss, damage|noun
453|锁|suǒ|lock, padlock|noun
454|台阶|táijiē|steps, stairs|noun
455|太极拳|tàijíquán|tai chi, taijiquan|noun
456|逃|táo|flee, escape, run away|verb
457|淘气|táoqì|naughty, mischievous|adjective
458|讨价还价|tǎojiàhuánjià|bargain, haggle, negotiate price|verb
459|套|tào|set, suite, collection|noun
460|特色|tèsè|characteristic, feature, specialty|noun
461|提倡|tíchàng|promote, advocate, encourage|verb
462|题目|tímù|subject, topic, title|noun
463|体贴|tǐtiē|considerate, thoughtful|adjective
464|体验|tǐyàn|experience, undergo, feel|verb
465|天空|tiānkōng|sky, heavens|noun
466|天真|tiānzhēn|naive, innocent|adjective
467|调整|tiáozhěng|adjustment, regulation|noun
468|通常|tōngcháng|usually, normally|adverb
469|统一|tǒngyī|unified, united|adjective
470|痛快|tòngkuài|happy, delighted|adjective
471|偷|tōu|steal, pilfer, sneak|verb
472|投资|tóuzī|investment, venture|noun
473|突出|tūchū|prominent, outstanding|adjective
474|土豆|tǔdòu|potato|noun
475|兔子|tùzi|rabbit, hare|noun
476|推辞|tuīcí|decline, refuse politely|verb
477|推荐|tuījiàn|recommend, suggest, nominate|verb
478|退|tuì|retreat, withdraw, back off|verb
479|退休|tuìxiū|retire, retirement|verb
480|外公|wàigōng|maternal grandfather|noun
481|完整|wánzhěng|complete, intact|adjective
482|玩具|wánjù|toy, plaything|noun
483|万一|wànyī|in case, if by any chance|conjunction
484|威胁|wēixié|threaten, intimidate, menace|verb
485|维修|wéixiū|repair, maintain, service|verb
486|围绕|wéirào|revolve around, center on|verb
487|尾巴|wěiba|tail|noun
488|委屈|wěiqu|feel wronged, suffer unfair treatment|verb
489|胃|wèi|stomach|noun
490|位于|wèiyú|be located at, be situated in|verb
491|未必|wèibì|not necessarily, maybe not|adverb
492|温柔|wēnróu|gentle, tender|adjective
493|文具|wénjù|stationery, writing materials|noun
494|文学|wénxué|literature|noun
495|稳定|wěndìng|stable, steady|adjective
496|问候|wènhòu|greet, send regards to|verb
497|卧室|wòshì|bedroom|noun
498|无数|wúshù|countless, innumerable|adjective
499|勿|wù|do not, must not|adverb
500|物质|wùzhì|material, substance|noun
501|吸取|xīqǔ|draw, absorb, learn from|verb
502|系统|xìtǒng|system, setup|noun
503|戏剧|xìjù|drama, theater, play|noun
504|吓|xià|scare, frighten, intimidate|verb
505|夏令营|xiàlìngyíng|summer camp|noun
506|下载|xiàzài|download, load|verb
507|显然|xiǎnrán|obviously, evidently|adverb
508|县|xiàn|county, district|noun
509|现象|xiànxiàng|phenomenon, manifestation|noun
510|香肠|xiāngcháng|sausage|noun
511|相当|xiāngdāng|quite, rather, fairly|adverb
512|相似|xiāngsì|be similar, resemble|verb
513|想念|xiǎngniàn|miss, think of, long for|verb
514|享受|xiǎngshòu|enjoy, appreciate, relish|verb
515|项链|xiàngliàn|necklace, chain|noun
516|象征|xiàngzhēng|symbolize, represent, stand for|verb
517|消极|xiāojí|negative, passive|adjective
518|消失|xiāoshī|disappear, vanish|verb
519|小气|xiǎoqi|stingy, mean|adjective
520|孝顺|xiàoshun|filial piety, filial duty|noun
521|斜|xié|slanting, oblique|adjective
522|写作|xiězuò|writing, composition|noun
523|心理|xīnlǐ|psychology, mentality|noun
524|心脏|xīnzàng|heart, cardiac|noun
525|信任|xìnrèn|trust, have confidence in|verb
526|行为|xíngwéi|behavior, conduct, action|noun
527|形容|xíngróng|describe, depict|verb
528|形势|xíngshì|situation, circumstances|noun
529|形状|xíngzhuàng|shape, form|noun
530|幸运|xìngyùn|lucky, fortunate|adjective
531|兄弟|xiōngdì|brother, brothers|noun
532|虚心|xūxīn|modest, open-minded|adjective
533|宣布|xuānbù|announce, declare, proclaim|verb
534|学术|xuéshù|learning, scholarship|noun
535|询问|xúnwèn|inquiry, consultation|noun
536|训练|xùnliàn|training, drill|noun
537|押金|yājīn|deposit, security deposit|noun
538|牙齿|yáchǐ|tooth, teeth|noun
539|宴会|yànhuì|banquet, feast|noun
540|痒|yǎng|itch, itchiness|noun
541|样式|yàngshì|style, pattern, design|noun
542|腰|yāo|waist, lower back|noun
543|咬|yǎo|bite, chew, gnaw|verb
544|夜|yè|night, evening|noun
545|业余|yèyú|amateur, spare time|noun
546|依然|yīrán|still, as before|adverb
547|一旦|yídàn|once, in case, if|conjunction
548|一致|yízhì|agreement, unanimity|noun
549|一再|yízài|repeatedly, again and again|adverb
550|移民|yímín|immigrant, migration|noun
551|疑问|yíwèn|doubt, question|noun
552|以来|yǐlái|since, from|preposition
553|意外|yìwài|accident, unexpected event|noun
554|议论|yìlùn|discussion, talk|noun
555|义务|yìwù|duty, obligation|noun
556|因素|yīnsù|factor, element|noun
557|英俊|yīngjùn|handsome, good-looking|adjective
558|营养|yíngyǎng|nutrition, nourishment|noun
559|硬|yìng|hard, rigid, stiff|adjective
560|应付|yìngfu|cope with, deal with, handle|verb
561|应用|yìngyòng|application, use|noun
562|拥挤|yōngjǐ|crowded, packed|adjective
563|勇气|yǒngqì|courage, bravery|noun
564|用功|yònggōng|diligent, studious|adjective
565|优惠|yōuhuì|preferential, favorable|adjective
566|优势|yōushì|advantage, superiority|noun
567|悠久|yōujiǔ|long-standing, age-old|adjective
568|油炸|yóuzhá|fried, deep-fried|adjective
569|有利|yǒulì|favorable, advantageous|adjective
570|娱乐|yúlè|entertainment, amusement|noun
571|预报|yùbào|forecast, prediction|noun
572|预防|yùfáng|prevention, precaution|noun
573|圆|yuán|round, circular|adjective
574|元旦|uándàn|New Year's Day|noun
575|员工|yuángōng|employee, staff member|noun
576|愿望|yuànwàng|wish, desire, aspiration|noun
577|晕|yūn|faint, pass out, feel dizzy|verb
578|运气|yùnqi|luck, fortune|noun
579|运用|yùnyòng|application, use|noun
580|灾害|zāihài|disaster, calamity|noun
581|在乎|zàihu|care about, mind, attach importance to|verb
582|再三|zàisān|repeatedly, over and over|adverb
583|赞成|zànchéng|approval, agreement|noun
584|糟糕|zāogāo|terrible, bad|adjective
585|造成|zàochéng|cause, create, lead to|verb
586|责备|zébèi|blame, reproach, criticize|verb
587|窄|zhǎi|narrow, tight|adjective
588|展开|zhǎnkāi|unfold, spread out, develop|verb
589|掌握|zhǎngwò|master, grasp, command|verb
590|账户|zhànghù|account, bank account|noun
