n|chinese|pinyin|english|part_of_speech
91|问|wèn|ask, inquire, question|verb
92|走|zǒu|walk, go, leave|verb
93|进|jìn|enter, come in, go in|verb
94|出|chū|come out, go out, exit|verb
95|跑步|pǎobù|run, jog, go running|verb
96|到|dào|arrive|verb
97|穿|chuān|wear, put on, dress|verb
98|洗|xǐ|wash, clean, rinse|verb
99|给|gěi|give, hand over, provide|verb
100|找|zhǎo|find, look for, seek|verb
101|懂|dǒng|understand, comprehend, know|verb
102|笑|xiào|smile, laugh, grin|verb
103|告诉|gàosù|tell, inform, let know|verb
104|准备|zhǔnbèi|prepare, get ready, plan|verb
105|开始|kāishǐ|begin, start, commence|verb
106|介绍|jièshào|introduce, present, recommend|verb
107|帮助|bāngzhù|help, assist, aid|verb
108|玩|wán|play, have fun, enjoy|verb
109|送|sòng|present, give, deliver|verb
110|等|děng|wait, wait for, expect|verb
111|让|ràng|let, allow, make|verb
112|起床|qǐchuáng|get up|verb
113|唱歌|chànggē|sing|verb
114|跳舞|tiàowǔ|dance|verb
115|旅游|lǚyóu|travel|verb
116|上班|shàngbān|be on duty|verb
117|生病|shēngbìng|get ill, get sick, fall ill|verb
118|休息|xiūxi|rest, take a break, relax|verb
119|运动|yùndòng|exercise, work out, move|verb
120|游泳|yóuyǒng|swim|verb
121|踢足球|tīzúqiú|play football|verb
122|打篮球|dǎlánqiú|play basketball|verb
123|完|wán|finish|verb
124|觉得|juédé|think, feel, believe|verb
125|知道|zhīdao|know, understand, be aware|verb
126|希望|xīwàng|hope, wish, expect|verb
127|可以|kěyǐ|can, may, possible|verb
128|要|yào|want, need, must|verb
129|可能|kěnéng|may, might, possibly|verb
130|高|gāo|tall, high, lofty|adjective
131|红|hóng|red|adjective
132|白|bái|white|adjective
133|黑|hēi|black|adjective
134|忙|máng|busy, occupied, hectic|adjective
135|快|kuài|fast, quick, rapid|adjective
136|慢|màn|slow, gentle, unhurried|adjective
137|远|yuǎn|far, distant, remote|adjective
138|近|jìn|close, near, nearby|adjective
139|好吃|hǎochī|delicious, tasty, yummy|adjective
140|累|lèi|tired, exhausted, fatigued|adjective
141|长|cháng|long, lengthy, extended|adjective
142|新|xīn|new, fresh, novel|adjective
143|贵|guì|expensive, costly, precious|adjective
144|便宜|piányi|cheap, inexpensive, affordable|adjective
145|晴|qíng|fine, clear, sunny|adjective
146|阴|yīn|cloudy, overcast, gloomy|adjective
147|错|cuò|wrong, incorrect, mistaken|adjective
148|快乐|kuàilè|happy, joyful, cheerful|adjective
149|对|duì|to, towards, correct|adjective
150|对|duì|right, correct, proper|adjective
